what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780589670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780592194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780592663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780595157
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780598435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780599202
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780600602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432780603603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432780604039
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780608011
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780608301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780610287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780611339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780614464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780616214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780617226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780619791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780625906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780627800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780630140
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780638214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780642007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780646397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780646431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780646460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780659506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780659965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780682975
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780684688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780686753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780688899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780689745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780704042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780752075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780754934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780759306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780760550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780761141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780761872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780763139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780768230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432780771685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780772462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780776712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780780083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780806307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780808266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780835873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780836805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780872991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780878604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780879754
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780885072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780886445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780889311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780890277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780891381
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780891944
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780896814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780897485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780900099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780902260
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780903636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780906638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780910485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780911346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1432780921529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432780922620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780924960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780926258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780927281
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432780929630
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432780937099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432780938797
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432780943056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780955119
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1432780955486
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780955911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780959118
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780960209
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432780984233
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780985509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780988475
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780989830
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780990947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780993074
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780993914
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780997004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432780997822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781004854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781009404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781010883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781011276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781014566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781016312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781019052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781028638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781029914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781032034
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781042018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781071041
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781077886
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781079499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781080636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781081145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781085785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432781086347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781087116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781095344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781099895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781100579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781102757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781104170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781105586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781107776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781109006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781111275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781112374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781121202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781123046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781123434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781124700
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781125297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781125617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781126397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781127522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781128038
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781135121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781138032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781141419
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432781143400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781143788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781147924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781149763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781150283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781152546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781155576
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781157598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781171423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781176581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781178179
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781179534
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781181469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781187355
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781190559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781191238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781192300
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781201349
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781206534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781207883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781211463
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781214106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781214825
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781218869
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781225976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781226419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781229063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781237249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781238863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781245587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781246268
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781252920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781254455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781256246
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432781257155
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781257383
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432781258394
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781258751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781259299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781260581
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781261910
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781262112
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781262193
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781263638
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781263638
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781264717
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781264896
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781265000
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781266098
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781266098
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781266905
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781267071
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781267152
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781270595
executed,command,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.edit.text.script.show.outline",1432781270612
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781271247
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781272429
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781272429
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781274696
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781274883
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781274963
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781276768
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781276768
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781277725
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781277877
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432781280794
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781280967
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781285087
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781288357
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432781290497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432781295744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781300672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781302563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781303549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781320482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781324489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432781326513
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432781331169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432781333162
